,subject_id,Condition,Correct,RT
0,14,upr_part,correct,890
1,14,upr_tot,correct,838
2,14,upr_tot,correct,1233
3,14,upd_part,correct,922
4,14,upd_tot,false,1667
5,14,upd_part,correct,1019
6,14,upr_part,false,1265
7,14,upr_tot,correct,844
8,14,upd_part,correct,1235
9,14,upd_tot,correct,867
10,14,upd_tot,correct,1092
11,14,upd_tot,correct,950
12,14,upd_part,correct,700
13,14,upr_part,correct,1386
14,14,upr_tot,correct,751
15,14,upd_tot,false,1160
16,14,upr_part,correct,950
17,14,upr_tot,correct,890
18,14,upd_part,false,1540
19,14,upd_part,correct,1202
20,14,upr_part,correct,1143
21,14,upr_tot,correct,803
22,14,upr_part,correct,1411
23,14,upr_part,correct,1293
24,14,upr_tot,false,1603
25,14,upd_part,correct,1440
26,14,upd_tot,correct,882
27,14,upr_tot,correct,1734
28,14,upr_part,correct,1379
29,14,upd_part,false,1042
30,14,upd_tot,correct,1062
31,14,upd_tot,correct,1119
32,14,upr_part,correct,769
33,14,upr_tot,false,1271
34,14,upr_part,correct,949
35,14,upr_tot,correct,911
36,14,upr_tot,correct,763
37,14,upr_tot,correct,828
38,14,upd_part,correct,881
39,14,upd_part,correct,618
40,14,upd_part,correct,802
41,14,upd_part,correct,862
42,14,upr_part,correct,828
43,14,upd_tot,correct,865
44,14,upd_tot,correct,701
45,14,upd_part,correct,822
46,14,upr_tot,false,736
47,14,upd_tot,correct,844
48,14,upd_part,correct,1035
49,14,upd_part,correct,770
50,14,upd_tot,correct,811
51,14,upr_part,correct,1076
52,14,upr_part,correct,986
53,14,upd_tot,correct,762
54,14,upr_part,correct,686
55,14,upd_part,correct,906
56,14,upr_part,correct,965
57,14,upd_tot,false,750
58,14,upd_tot,correct,997
59,14,upr_part,correct,1325
